user_id,item_id,item_name,quantity,unit,category,expiry_date,allergen_flag,unit_cost,last_updated,storage_type,brand,nutritional_tags,daily_usage_rate,reorder_threshold,purchase_date,source
user_001,I_tofu,tofu,2.2,oz,grains_cereals,2026-04-16,True,24.35,2025-10-23,pantry,Organic Farm,"low_sugar,vegan",0.37,0.38,2024-08-21,synthetic_generation
user_001,I_banana,banana,2.21,pcs,snacks,2025-03-23,True,21.8,2025-10-23,pantry,Organic Farm,"vegan,gluten_free",0.21,1.44,2024-03-14,synthetic_generation
user_001,I_rice,rice,2.21,L,meat_poultry,2026-07-01,True,4.92,2025-10-23,freezer,Organic Farm,"organic,vegan",0.42,1.67,2025-02-14,synthetic_generation
user_001,I_jam,jam,3.05,lb,snacks,2025-03-09,True,22.92,2025-10-23,pantry,365,"contains_nuts,low_sugar,organic",0.17,0.72,2025-07-28,synthetic_generation
user_001,I_onion,onion,2.3,L,frozen_foods,2025-09-27,False,22.55,2025-10-23,freezer,365,"organic,low_sugar,contains_nuts",0.12,0.57,2025-03-08,synthetic_generation
user_001,I_potato,potato,2.61,oz,dairy_eggs,2026-01-30,False,15.3,2025-10-23,refrigerator,Great Value,,0.36,0.49,2025-07-03,synthetic_generation
user_001,I_tomato,tomato,2.46,pcs,snacks,2026-10-19,False,3.68,2025-10-23,pantry,Kirkland,"low_sugar,vegan",0.28,0.48,2024-11-01,synthetic_generation
user_001,I_beef,beef,3.93,g,frozen_foods,2026-09-16,True,4.67,2025-10-23,freezer,Great Value,"contains_nuts,organic",0.1,0.92,2024-11-10,synthetic_generation
user_001,I_wine,wine,4.76,kg,seafood,2025-03-01,True,22.07,2025-10-23,freezer,Organic Farm,"organic,vegan,low_sugar",0.35,1.91,2024-06-18,synthetic_generation
user_001,I_apple,apple,4.68,L,snacks,2026-06-25,False,24.14,2025-10-23,pantry,Organic Farm,"contains_nuts,gluten_free",0.25,1.18,2024-05-03,synthetic_generation
user_001,I_mayonnaise,mayonnaise,3.15,L,seafood,2025-08-19,True,9.11,2025-10-23,freezer,Great Value,organic,0.08,1.37,2024-08-22,synthetic_generation
user_001,I_cream,cream,1.57,pcs,dairy_eggs,2025-02-02,False,2.7,2025-10-23,refrigerator,365,low_sugar,0.31,0.71,2025-04-29,synthetic_generation
user_001,I_orange,orange,2.44,pack,beverages,2025-07-14,True,3.33,2025-10-23,pantry,Whole Foods,"organic,low_sugar,contains_nuts",0.23,0.88,2024-04-21,synthetic_generation
user_001,I_chicken,chicken,1.13,ml,seafood,2025-07-16,True,13.87,2025-10-23,freezer,Trader Joe's,"vegan,organic,low_sugar",0.41,1.76,2024-04-10,synthetic_generation
user_001,I_mushroom,mushroom,4.67,L,grains_cereals,2026-10-30,True,24.26,2025-10-23,pantry,365,"contains_nuts,low_sugar,organic",0.44,1.83,2024-06-17,synthetic_generation
user_001,I_pasta,pasta,4.03,pcs,beverages,2025-01-03,False,7.36,2025-10-23,pantry,Trader Joe's,"low_sugar,contains_nuts,organic",0.14,0.67,2024-02-29,synthetic_generation
user_001,I_milk,milk,3.13,ml,frozen_foods,2025-03-04,False,2.37,2025-10-23,freezer,Kirkland,,0.43,0.42,2024-03-10,synthetic_generation
user_001,I_ice_cream,ice_cream,3.06,g,seafood,2026-02-18,True,23.6,2025-10-23,freezer,Great Value,,0.24,1.29,2025-06-19,synthetic_generation
user_001,I_ketchup,ketchup,1.91,oz,condiments_spices,2025-09-25,True,17.07,2025-10-23,pantry,Whole Foods,gluten_free,0.26,1.88,2024-03-15,synthetic_generation
user_001,I_cheese,cheese,1.46,oz,grains_cereals,2026-04-15,True,2.76,2025-10-23,pantry,365,"organic,vegan",0.22,0.57,2025-07-10,synthetic_generation
user_001,I_water,water,3.0,kg,snacks,2026-09-19,True,17.03,2025-10-23,pantry,365,"organic,low_sugar",0.38,0.56,2024-10-15,synthetic_generation
user_001,I_fish,fish,4.34,pcs,seafood,2025-12-18,True,17.5,2025-10-23,freezer,Trader Joe's,,0.09,1.02,2024-10-10,synthetic_generation
user_001,I_bacon,bacon,3.37,oz,grains_cereals,2025-01-04,False,19.51,2025-10-23,pantry,365,"low_sugar,contains_nuts,gluten_free",0.05,0.43,2024-06-01,synthetic_generation
user_001,I_strawberry,strawberry,1.17,ml,frozen_foods,2025-02-06,False,14.98,2025-10-23,freezer,Kirkland,"gluten_free,organic",0.45,0.66,2024-09-12,synthetic_generation
user_001,I_butter,butter,3.87,L,dairy_eggs,2025-12-29,False,24.37,2025-10-23,refrigerator,365,contains_nuts,0.06,1.55,2024-12-06,synthetic_generation
user_001,I_pepper,pepper,4.04,kg,beverages,2026-11-17,True,7.4,2025-10-23,pantry,Whole Foods,,0.44,0.68,2025-04-16,synthetic_generation
user_001,I_garlic,garlic,3.47,pack,condiments_spices,2025-11-09,True,6.35,2025-10-23,pantry,Trader Joe's,"organic,gluten_free",0.21,1.17,2025-07-03,synthetic_generation
user_001,I_cereal,cereal,1.68,oz,condiments_spices,2025-01-29,True,22.05,2025-10-23,pantry,Kirkland,,0.32,0.89,2024-11-17,synthetic_generation
user_001,I_flour,flour,3.09,oz,beverages,2026-09-13,True,10.24,2025-10-23,pantry,Kirkland,"organic,vegan,contains_nuts",0.24,1.91,2024-12-04,synthetic_generation
user_001,I_chips,chips,1.85,oz,condiments_spices,2026-11-11,True,18.27,2025-10-23,pantry,Organic Farm,"gluten_free,contains_nuts,low_sugar",0.18,0.52,2025-03-06,synthetic_generation
user_001,I_vinegar,vinegar,1.85,g,beverages,2026-11-25,True,15.77,2025-10-23,pantry,Trader Joe's,"vegan,contains_nuts",0.4,1.33,2024-11-25,synthetic_generation
user_001,I_oats,oats,2.8,ml,produce,2026-03-29,False,17.22,2025-10-23,refrigerator,Organic Farm,,0.18,1.43,2025-09-26,synthetic_generation
user_001,I_salt,salt,1.51,L,condiments_spices,2025-04-06,True,17.15,2025-10-23,pantry,365,,0.07,1.97,2025-09-17,synthetic_generation
user_001,I_soy_sauce,soy_sauce,3.09,pack,dairy_eggs,2026-04-12,False,22.27,2025-10-23,refrigerator,Whole Foods,"vegan,low_sugar,gluten_free",0.36,1.82,2024-04-19,synthetic_generation
user_001,I_beans,beans,3.63,pcs,beverages,2025-08-13,True,20.3,2025-10-23,pantry,Kirkland,organic,0.26,1.66,2025-06-27,synthetic_generation
user_001,I_juice,juice,4.51,pack,frozen_foods,2026-09-02,False,23.8,2025-10-23,freezer,Great Value,"vegan,contains_nuts,low_sugar",0.17,0.72,2024-10-10,synthetic_generation
user_001,I_ginger,ginger,0.85,oz,frozen_foods,2026-05-12,True,7.59,2025-10-23,freezer,365,"gluten_free,low_sugar",0.45,0.44,2024-06-03,synthetic_generation
user_001,I_spinach,spinach,0.79,pack,seafood,2026-01-28,True,17.95,2025-10-23,freezer,Trader Joe's,"contains_nuts,organic,low_sugar",0.42,0.96,2025-08-21,synthetic_generation
user_001,I_chocolate,chocolate,4.74,oz,grains_cereals,2026-08-13,False,12.45,2025-10-23,pantry,Whole Foods,"low_sugar,vegan,contains_nuts",0.15,1.04,2024-01-30,synthetic_generation
user_001,I_eggs,eggs,4.28,ml,beverages,2025-12-11,False,18.38,2025-10-23,pantry,Great Value,,0.46,1.31,2024-01-28,synthetic_generation
user_001,I_buttermilk,buttermilk,2.58,g,dairy_eggs,2026-10-21,False,4.26,2025-10-23,refrigerator,Trader Joe's,"gluten_free,vegan,contains_nuts",0.2,1.59,2025-01-23,synthetic_generation
user_001,I_tea,tea,2.62,g,snacks,2026-03-08,False,21.04,2025-10-23,pantry,Trader Joe's,organic,0.4,1.41,2024-02-01,synthetic_generation
user_001,I_bread,bread,1.57,pcs,seafood,2025-07-24,True,15.91,2025-10-23,freezer,Organic Farm,,0.3,0.67,2024-09-19,synthetic_generation
user_001,I_ham,ham,1.24,oz,condiments_spices,2025-06-21,True,19.67,2025-10-23,pantry,Kirkland,,0.47,1.28,2025-01-19,synthetic_generation
user_001,I_cookies,cookies,4.24,L,beverages,2025-07-23,True,15.21,2025-10-23,pantry,Kirkland,"low_sugar,organic",0.41,1.26,2024-02-12,synthetic_generation
user_001,I_lettuce,lettuce,0.81,lb,condiments_spices,2026-06-30,False,16.88,2025-10-23,pantry,Kirkland,"contains_nuts,organic,vegan",0.48,1.38,2025-04-15,synthetic_generation
user_001,I_frozen_pizza,frozen_pizza,4.84,oz,meat_poultry,2026-03-22,True,18.61,2025-10-23,freezer,Great Value,"contains_nuts,low_sugar,gluten_free",0.32,0.85,2024-09-08,synthetic_generation
user_001,I_honey,honey,2.59,pack,dairy_eggs,2025-10-13,False,6.85,2025-10-23,refrigerator,Trader Joe's,,0.27,0.85,2025-05-14,synthetic_generation
user_001,I_yogurt,yogurt,4.46,oz,seafood,2025-12-30,False,9.17,2025-10-23,freezer,Great Value,,0.28,0.62,2024-09-04,synthetic_generation
user_001,I_sugar,sugar,3.41,pcs,beverages,2026-05-16,True,17.57,2025-10-23,pantry,Whole Foods,,0.09,0.68,2024-09-06,synthetic_generation
user_002,I_sugar,sugar,2.61,pcs,produce,2025-04-16,True,14.78,2025-10-23,refrigerator,Trader Joe's,organic,0.16,1.76,2024-04-26,synthetic_generation
user_002,I_ham,ham,3.33,g,dairy_eggs,2026-02-15,False,2.78,2025-10-23,refrigerator,365,low_sugar,0.48,0.44,2024-09-11,synthetic_generation
user_002,I_mushroom,mushroom,4.06,L,dairy_eggs,2026-07-26,False,15.55,2025-10-23,refrigerator,Great Value,"contains_nuts,low_sugar,vegan",0.44,1.98,2024-11-08,synthetic_generation
user_002,I_oil,oil,1.44,L,grains_cereals,2026-09-17,True,23.74,2025-10-23,pantry,Trader Joe's,,0.12,0.6,2024-03-17,synthetic_generation
user_002,I_cookies,cookies,3.17,oz,meat_poultry,2025-01-03,False,11.81,2025-10-23,freezer,Kirkland,gluten_free,0.37,1.5,2025-04-09,synthetic_generation
user_002,I_strawberry,strawberry,4.05,L,dairy_eggs,2026-12-05,True,23.17,2025-10-23,refrigerator,Whole Foods,,0.3,1.4,2024-09-29,synthetic_generation
user_002,I_shrimp,shrimp,1.88,oz,meat_poultry,2025-03-15,True,4.98,2025-10-23,freezer,Whole Foods,,0.26,0.82,2025-02-16,synthetic_generation
